Brand,Model_name,Model_colour,RAM(GB),ROM(GB),Display,Processor,Current_price,Original_price,Discount(%),Rating
Realme,Realme C11 ,Rich Grey,2,32,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G35 Processor,7499,8999,16,4.4
Realme,Realme C11 ,Rich Green,2,32,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G35 Processor,7499,8999,16,4.4
Realme,Realme Narzo 20 ,Victory Blue,4,128,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G85 Processor,11499,13999,17,4.3
Realme,Realme C12 ,Power Silver,3,32,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,8499,10999,22,4.4
Realme,Realme Narzo 20A ,Glory Silver,4,64,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 665 Processor,9499,11999,20,4.4
Realme,Realme Narzo 20A ,Victory Blue,4,64,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 665 Processor,9499,11999,20,4.4
Realme,Realme Narzo 20 ,Glory Silver,4,128,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G85 Processor,11499,13999,17,4.3
Realme,Realme Narzo 20 ,Victory Blue,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G85 Processor,10499,12999,19,4.3
Realme,Realme Narzo 20 ,Glory Silver,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G85 Processor,10499,12999,19,4.3
Realme,Realme Narzo 20A ,Victory Blue,3,32,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 665 Processor,8499,10999,22,4.3
Realme,Realme 7i ,Fusion Blue,4,64,90 Hz Ultra Smooth Display,Qualcomm Snapdragon 662 Processor,11999,13999,14,4.3
Realme,Realme 7i ,Fusion Green,4,64,90 Hz Ultra Smooth Display,Qualcomm Snapdragon 662 Processor,11999,13999,14,4.3
Realme,Realme Narzo 20A ,Glory Silver,3,32,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 665 Processor,8499,10999,22,4.3
POCO,POCO M2 ,Pitch Black,6,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,12999,23,4.3
